POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,OC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG
NE,25,17.00,39.00,43.00,7.98,7.37,21.50,776.00,1.70,182.00,571.00,14.70,,31035,34.68,32.69
NE,28,25.00,41.00,34.00,8.26,7.54,26.70,611.00,1.60,5.00,148.00,23.40,,31044,34.69,32.90
NE,19,30.00,48.00,22.00,8.22,7.48,28.50,588.00,2.70,5.00,249.00,28.20,,31034,34.69,32.67
NE,20,23.00,50.00,27.00,8.34,7.47,19.60,655.00,1.10,5.00,299.00,18.20,,31036,34.71,32.74
NE,17,29.00,39.00,32.00,8.06,7.46,18.30,499.00,1.30,15.00,225.00,23.40,,31021,34.71,32.59
NE,23,32.00,40.00,28.00,8.14,7.52,22.50,528.00,1.40,97.00,765.00,21.40,,31049,34.71,32.95
NE,24,27.00,49.00,23.00,8.10,7.45,24.00,621.00,1.20,5.00,234.00,22.00,,31045,34.72,32.91
NE,37,29.00,43.00,28.00,8.18,7.53,36.60,401.00,2.00,5.00,535.00,33.40,,31048,34.73,32.96
NE,34,18.00,33.00,48.00,8.45,7.56,17.10,806.00,0.60,5.00,104.00,11.40,,31042,34.73,32.80
NE,23,24.00,40.00,36.00,8.31,7.45,16.50,679.00,1.20,5.00,159.00,15.90,,31033,34.74,32.71
NE,25,30.00,59.00,10.00,8.16,7.50,33.10,86.00,3.30,5.00,1016.00,50.00,,31051,34.74,33.07
NE,19,34.00,37.00,30.00,8.15,7.40,25.50,97.00,2.60,5.00,354.00,36.00,,31030,34.74,32.55
NE,21,26.00,53.00,20.00,8.08,7.43,21.80,642.00,1.50,19.00,138.00,22.90,,31098,34.74,33.28
NE,35,16.00,27.00,57.00,7.94,7.42,34.90,140.00,2.70,11.00,1579.00,68.50,,31052,34.76,33.15
NE,34,30.00,48.00,22.00,7.73,7.30,60.40,592.00,5.90,13.00,237.00,36.00,,31020,34.76,32.67
NE,21,29.00,48.00,23.00,7.92,7.65,21.30,506.00,1.40,5.00,118.00,23.80,,31083,34.77,33.33
NE,16,20.00,42.00,39.00,8.24,7.48,20.70,687.00,1.20,5.00,128.00,17.90,,31041,34.77,32.74
NE,26,26.00,40.00,33.00,8.32,7.57,18.20,727.00,1.20,5.00,114.00,15.20,,31047,34.77,32.95
NE,14,21.00,38.00,41.00,8.54,7.68,11.20,500.00,0.70,5.00,590.00,23.20,,31097,34.77,33.38
NE,29,28.00,47.00,25.00,8.38,7.56,14.60,601.00,0.80,5.00,194.00,14.40,,31084,34.78,33.29
NE,31,24.00,40.00,35.00,8.17,7.50,36.00,686.00,2.50,11.00,206.00,20.30,,31050,34.78,32.99
NE,28,34.00,32.00,33.00,8.23,7.46,6.00,190.00,0.90,5.00,358.00,28.10,,31103,34.78,32.52
NE,18,26.00,46.00,28.00,8.39,7.55,16.70,697.00,1.10,11.00,156.00,18.20,,31082,34.79,33.32
NE,29,30.00,43.00,27.00,8.47,7.50,15.20,642.00,0.80,5.00,164.00,20.90,,31043,34.80,32.82
NE,40,31.00,44.00,24.00,8.23,7.51,24.70,587.00,1.70,5.00,152.00,28.50,many stones,31022,34.81,32.48
NE,20,19.00,34.00,47.00,8.26,7.63,16.70,320.00,1.10,20.00,492.00,23.10,,31080,34.81,33.51
NE,15,23.00,49.00,28.00,7.92,7.38,21.50,646.00,1.40,41.00,262.00,18.40,,31100,34.82,33.42
NE,55,7.00,28.00,65.00,8.57,7.53,2.70,26.00,0.30,5.00,176.00,38.90,many stones,31046,34.82,32.96
NE,26,33.00,40.00,27.00,7.85,7.40,48.20,627.00,3.90,12.00,203.00,31.70,,31019,34.82,32.74
NE,38,6.00,19.00,76.00,6.25,5.51,12.60,0.50,1.40,50.00,79.00,16.50,,31013,34.82,33.10
NE,15,33.00,39.00,27.00,8.43,7.75,19.80,345.00,1.50,33.00,688.00,26.90,,31078,34.83,33.53
NE,13,9.00,16.00,75.00,8.56,7.55,9.80,318.00,0.70,11.00,303.00,13.40,,31077,34.83,33.60
NE,20,41.00,32.00,27.00,8.31,7.58,15.30,223.00,1.50,5.00,516.00,38.00,,31101,34.83,32.40
NE,22,27.00,44.00,29.00,7.59,7.47,16.70,621.00,1.40,66.00,1270.00,12.40,,31099,34.85,33.38
NE,25,35.00,50.00,15.00,8.75,7.78,11.80,314.00,1.20,5.00,550.00,32.90,,31076,34.85,33.59
NE,36,25.00,40.00,35.00,8.30,7.44,30.70,699.00,1.70,5.00,190.00,25.50,,31039,34.85,32.84
NE,27,39.00,49.00,12.00,8.42,7.52,9.10,652.00,0.40,15.00,152.00,19.60,,31029,34.86,32.45
NE,50,11.00,30.00,59.00,7.19,6.51,18.50,1.00,1.20,5.00,367.00,31.80,many stones,31040,34.86,32.88
NE,46,26.00,33.00,40.00,7.68,6.92,28.00,3.00,1.80,5.00,198.00,31.80,many stones,31014,34.87,33.14
